mass,ftest_status,best_fit_pdf,n_pdfs,ftest_results,envelope_results,ftest_stdout,bkgplots_status,bkgplots_stdout
7,OK,0:Bern1,1,./ALP_BkgModel_ReReco/fit_results_run3/7/HZAmassInde_fTest/fTestResults.txt,./ALP_BkgModel_ReReco/fit_results_run3/7/HZAmassInde_fTest/EnvelopeResults.txt,./ALP_BkgModel_ReReco/fit_results_run3/7/ftest.stdout.log,OK,./ALP_BkgModel_ReReco/fit_results_run3/7/makeBkgPlots.stdout.log
9,OK,0:Bern1,1,./ALP_BkgModel_ReReco/fit_results_run3/9/HZAmassInde_fTest/fTestResults.txt,./ALP_BkgModel_ReReco/fit_results_run3/9/HZAmassInde_fTest/EnvelopeResults.txt,./ALP_BkgModel_ReReco/fit_results_run3/9/ftest.stdout.log,OK,./ALP_BkgModel_ReReco/fit_results_run3/9/makeBkgPlots.stdout.log
13,OK,0:Bern1,1,./ALP_BkgModel_ReReco/fit_results_run3/13/HZAmassInde_fTest/fTestResults.txt,./ALP_BkgModel_ReReco/fit_results_run3/13/HZAmassInde_fTest/EnvelopeResults.txt,./ALP_BkgModel_ReReco/fit_results_run3/13/ftest.stdout.log,OK,./ALP_BkgModel_ReReco/fit_results_run3/13/makeBkgPlots.stdout.log
15,OK,0:Bern1,1,./ALP_BkgModel_ReReco/fit_results_run3/15/HZAmassInde_fTest/fTestResults.txt,./ALP_BkgModel_ReReco/fit_results_run3/15/HZAmassInde_fTest/EnvelopeResults.txt,./ALP_BkgModel_ReReco/fit_results_run3/15/ftest.stdout.log,OK,./ALP_BkgModel_ReReco/fit_results_run3/15/makeBkgPlots.stdout.log
18,OK,0:Bern1,1,./ALP_BkgModel_ReReco/fit_results_run3/18/HZAmassInde_fTest/fTestResults.txt,./ALP_BkgModel_ReReco/fit_results_run3/18/HZAmassInde_fTest/EnvelopeResults.txt,./ALP_BkgModel_ReReco/fit_results_run3/18/ftest.stdout.log,OK,./ALP_BkgModel_ReReco/fit_results_run3/18/makeBkgPlots.stdout.log
20,OK,0:Bern1,1,./ALP_BkgModel_ReReco/fit_results_run3/20/HZAmassInde_fTest/fTestResults.txt,./ALP_BkgModel_ReReco/fit_results_run3/20/HZAmassInde_fTest/EnvelopeResults.txt,./ALP_BkgModel_ReReco/fit_results_run3/20/ftest.stdout.log,OK,./ALP_BkgModel_ReReco/fit_results_run3/20/makeBkgPlots.stdout.log
22,OK,0:Bern1,1,./ALP_BkgModel_ReReco/fit_results_run3/22/HZAmassInde_fTest/fTestResults.txt,./ALP_BkgModel_ReReco/fit_results_run3/22/HZAmassInde_fTest/EnvelopeResults.txt,./ALP_BkgModel_ReReco/fit_results_run3/22/ftest.stdout.log,OK,./ALP_BkgModel_ReReco/fit_results_run3/22/makeBkgPlots.stdout.log
23,OK,0:Exp1,1,./ALP_BkgModel_ReReco/fit_results_run3/23/HZAmassInde_fTest/fTestResults.txt,./ALP_BkgModel_ReReco/fit_results_run3/23/HZAmassInde_fTest/EnvelopeResults.txt,./ALP_BkgModel_ReReco/fit_results_run3/23/ftest.stdout.log,OK,./ALP_BkgModel_ReReco/fit_results_run3/23/makeBkgPlots.stdout.log
24,OK,0:Bern1,1,./ALP_BkgModel_ReReco/fit_results_run3/24/HZAmassInde_fTest/fTestResults.txt,./ALP_BkgModel_ReReco/fit_results_run3/24/HZAmassInde_fTest/EnvelopeResults.txt,./ALP_BkgModel_ReReco/fit_results_run3/24/ftest.stdout.log,OK,./ALP_BkgModel_ReReco/fit_results_run3/24/makeBkgPlots.stdout.log
28,OK,0:Bern1,1,./ALP_BkgModel_ReReco/fit_results_run3/28/HZAmassInde_fTest/fTestResults.txt,./ALP_BkgModel_ReReco/fit_results_run3/28/HZAmassInde_fTest/EnvelopeResults.txt,./ALP_BkgModel_ReReco/fit_results_run3/28/ftest.stdout.log,OK,./ALP_BkgModel_ReReco/fit_results_run3/28/makeBkgPlots.stdout.log
