mA,n_env,best_pdf,truth_members,neg2sigma,expected,pos2sigma
1,4,Bern4,Exp1+Pow1+Lau1,0.085621,0.163574,0.325994
2,6,Bern4,Exp1+Pow1+Lau1+Bern3,0.019638,0.038086,0.078523
3,6,Bern4,Exp1+Pow1+Bern3+Lau1,0.013344,0.025879,0.054617
4,5,Bern3,Bern3+Exp1+Pow1+Lau1,0.011581,0.022461,0.047527
5,6,Bern3,Bern3+Exp1+Pow1+Lau1,0.00708,0.01416,0.030959
6,6,Lau1,Lau1+Pow1+Exp1+Bern3,0.01001,0.02002,0.042977
7,6,Pow1,Pow1+Lau1+Exp1+Bern3,0.008041,0.015137,0.033622
8,6,Exp1,Exp1+Lau1+Pow1+Bern3,0.007095,0.015137,0.033622
9,6,Pow1,Pow1+Exp3+Lau1+Bern3,0.000259,0.008301,0.024968
10,6,Exp3,Exp3+Pow3+Lau1,0.008278,0.01709,0.036372
11,6,Pow1,Pow1+Exp3+Lau1+Bern3,0.008751,0.018066,0.038451
12,6,Exp3,Exp3+Pow1+Lau1+Bern3,0.009224,0.019043,0.042133
13,6,Exp3,Exp3+Lau1+Pow1+Bern3,0.008858,0.020996,0.045834
14,6,Pow1,Pow1+Exp3+Lau1+Bern3,0.011833,0.022949,0.049543
15,6,Exp3,Exp3+Pow1+Lau1+Bern3,0.009293,0.020508,0.046344
16,6,Exp3,Exp3+Pow1+Lau1+Bern3,0.010399,0.022949,0.050575
17,6,Exp3,Exp3+Pow1+Lau1+Bern3,0.009956,0.021973,0.05078
18,6,Pow1,Pow1+Exp1+Lau1+Bern3,0.019588,0.038574,0.08104
19,6,Exp1,Exp1+Pow1+Lau1+Bern3,0.024925,0.04834,0.098522
20,6,Pow1,Pow1+Exp1+Lau1+Bern3,0.024052,0.047363,0.097943
21,6,Pow1,Pow1+Exp3+Lau1+Bern3,0.023415,0.04541,0.094627
22,6,Exp3,Exp3+Pow1+Lau1+Bern3,0.025177,0.048828,0.101211
23,4,Exp3,Exp3+Pow1+Lau1,0.021175,0.044434,0.094164
24,4,Exp3,Exp3+Pow1+Lau1,0.018456,0.040039,0.089232
25,4,Exp3,Exp3+Pow1+Lau1,0.01733,0.037598,0.081337
26,4,Pow1,Pow1+Exp1+Lau1,0.022747,0.043457,0.088029
27,4,Pow1,Pow1+Exp3+Lau1,0.022408,0.043457,0.087809
28,4,Pow1,Pow1+Lau1,0.01968,0.037598,0.076205
29,5,Exp3,Exp3+Pow1+Lau1,0.017635,0.033691,0.069462
30,4,Exp3,Exp3+Lau1,0.013962,0.029785,0.063581
